Train Start Date,Train End Date,Test Start Date,Test End Date,Period,kmean_ce,gmm_ce,agglo_ce,dc_sharpe,kmean_sharpe,gmm_sharpe,agglo_sharpe
2013-01-01,2019-12-31,2020-01-01,2020-02-29,3M,-87.92603178480375,-95.9602792228881,-96.7862690616957,-4.725008361101224,-4.545574225731466,-4.859384699094121,-3.9462218446860073
2013-01-01,2019-12-31,2020-01-01,2020-05-31,6M,-71.25691468420814,-69.1544761604215,-98.51322700224937,-0.17100898119224345,-0.5352685363758574,-0.25614151073052716,-0.5752047150163321
2013-01-01,2019-12-31,2020-01-01,2020-12-31,1Y,-73.43452094075906,-93.78288677173698,-89.05250656135313,0.5002898021801293,0.7202262841556323,0.5654259571895488,0.40026153946506143
2013-01-01,2020-12-31,2021-01-01,2021-02-28,3M,-89.05227015863464,-94.15807532808243,-78.61524353421036,2.3537384261413496,2.1639868687912105,2.219616929357469,5.647850785771993
2013-01-01,2020-12-31,2021-01-01,2021-05-31,6M,-105.04582848999169,-96.71129253701258,-66.30130070510036,2.855821170137498,2.1312639466036236,3.456961850684486,4.0281395144652565
2013-01-01,2020-12-31,2021-01-01,2021-12-31,1Y,-89.05235185663292,-102.4176799510158,-71.63233790501681,2.1012865174165687,2.4028264031795206,1.4641277182769052,2.41596763596137
2013-01-01,2021-12-31,2022-01-01,2022-02-28,3M,-57.21603651186316,-64.04887089033122,-46.10316778258923,-3.629324008465048,2.6987963493815963,0.4917854402858779,1.4216835065236444
2013-01-01,2021-12-31,2022-01-01,2022-05-31,6M,-98.51313313646406,-82.51978513399625,-53.46147751178335,-1.05278080185502,0.7224230270914455,-0.4124828795669803,1.1886977673299668
2013-01-01,2021-12-31,2022-01-01,2022-12-31,1Y,-107.97416298680069,-98.13790112373655,-53.61166522561281,-0.6673857971929597,0.020540011875049946,-0.2481115029200519,0.7490195319839935
