Train Start Date,Train End Date,Test Start Date,Test End Date,Period,kmean_ce,gmm_ce,agglo_ce,dc_sharpe,kmean_sharpe,gmm_sharpe,agglo_sharpe
1/1/2013,12/31/2019,1/1/2020,2/29/2020,3M,-3.573280164,-3.573280164,-3.573280164,-4.095294895,-4.429346294,-4.967173127,-5.515353631
1/1/2013,12/31/2019,1/1/2020,5/31/2020,6M,1.190909573,1.190909573,1.190909573,-0.223664341,-0.518090124,-0.518090124,-0.637257715
1/1/2013,12/31/2019,1/1/2020,12/31/2020,1Y,-47.64095991,-47.64095991,-47.64095991,0.48526196,0.035263805,0.137932905,-0.03792151
1/1/2013,12/31/2020,1/1/2021,2/28/2021,3M,2.38187429,2.38187429,2.38187429,1.311154874,3.698824214,1.223321805,3.698824214
1/1/2013,12/31/2020,1/1/2021,5/31/2021,6M,-10.71956477,-10.71956477,-10.71956477,3.022480495,3.275143049,3.12364785,3.275143049
1/1/2013,12/31/2020,1/1/2021,12/31/2021,1Y,15.48301005,15.48301005,15.48301005,1.224934251,1.273236011,1.301145825,1.273236011
1/1/2013,12/31/2021,1/1/2022,2/28/2022,3M,-8.337276894,-8.337276894,-8.337276894,0.263730046,-1.64989691,1.091883066,-5.002547543
1/1/2013,12/31/2021,1/1/2022,5/31/2022,6M,-0.000275723,-0.000275723,-0.000275723,0.374029302,-0.13760528,-0.13760528,-1.767538147
1/1/2013,12/31/2021,1/1/2022,12/31/2022,1Y,-3.573197447,-3.573197447,-3.573197447,0.117066343,-0.040237566,0.408588916,-0.900485525
