Train Start Date,Train End Date,Test Start Date,Test End Date,Period,kmean_ce,gmm_ce,agglo_ce,dc_sharpe,kmean_sharpe,gmm_sharpe,agglo_sharpe
2013-01-01,2019-12-31,2020-01-01,2020-02-29,3M,-47.64156649729934,-60.743143417380104,-25.012437273933642,-2.5066733870470195,-4.802120963422963,-4.82585634926612,-5.360927980659904
2013-01-01,2019-12-31,2020-01-01,2020-05-31,6M,-76.22568474038859,-92.89982494403073,-92.89971465472999,0.10451585503643838,-0.33357156633507173,-0.3197615682252402,-0.26178369877909613
2013-01-01,2019-12-31,2020-01-01,2020-12-31,1Y,-65.50667141809596,-71.46174315479506,-65.5065887011204,0.4487300346975207,0.30330090878429444,0.23436460373265502,0.32867284543914965
2013-01-01,2020-12-31,2021-01-01,2021-02-28,3M,-75.03427886603123,-107.19187027941275,-55.978043794129036,1.8699225942247428,2.3794272905664564,1.953478215378273,2.4652463099697415
2013-01-01,2020-12-31,2021-01-01,2021-05-31,6M,-52.40539779359216,-89.32698593721756,-17.865876945901633,3.0589311271531088,2.7918952743852663,3.3889090682417526,2.7699508963113235
2013-01-01,2020-12-31,2021-01-01,2021-12-31,1Y,-57.16922908988497,-83.37180391121773,-47.64104262312093,1.1811726390987092,1.08911022947452,1.3076047675937756,0.920302021273865
2013-01-01,2021-12-31,2022-01-01,2022-02-28,3M,-44.06817604398262,-122.6752663445018,-35.73092672204789,0.11772206644840975,-2.7484217362849113,-2.158962857928315,-2.421235379406563
2013-01-01,2021-12-31,2022-01-01,2022-05-31,6M,-78.60766931934795,-29.77607556395021,-44.067983037706355,-0.46878973889692976,-0.7058193767307314,-0.5134962760748439,-0.9516416947346441
2013-01-01,2021-12-31,2022-01-01,2022-12-31,1Y,-61.933722121982086,-46.45046391851893,-39.303986307462466,-0.15746233348923955,-0.10112107808084264,-0.2614728797557981,-0.15822992737933106
