Train Start Date,Train End Date,Test Start Date,Test End Date,Period,kmean_ce,gmm_ce,agglo_ce,dc_sharpe,kmean_sharpe,gmm_sharpe,agglo_sharpe
2013-01-01,2019-12-31,2020-01-01,2020-02-29,3M,-86.49940929203753,-105.8716166911865,-63.29771330101824,-5.3786582789800175,-6.3698771077737035,-2.9558001655353023,-3.4702264380279373
2013-01-01,2019-12-31,2020-01-01,2020-05-31,6M,-68.7040764149297,-84.39712721122635,-52.41038079688748,-0.16241687995833637,-0.3101014308702722,-0.37421913851429256,-0.27600175426321355
2013-01-01,2019-12-31,2020-01-01,2020-12-31,1Y,-78.76550946952756,-123.51684007595257,-60.14413634420894,0.6613040168008179,0.5876468303546863,0.43974315110274603,0.5164534466411331
2013-01-01,2020-12-31,2021-01-01,2021-02-28,3M,-85.14787631054782,-120.13804151820632,-88.67691994454786,0.31811714232488053,2.350736418340506,3.923489104227572,4.472152665019009
2013-01-01,2020-12-31,2021-01-01,2021-05-31,6M,-94.45834993693495,-103.09323350548848,-101.44137724399833,3.7364745202937186,3.744806649675223,4.109587129206463,4.0266719234017225
2013-01-01,2020-12-31,2021-01-01,2021-12-31,1Y,-104.36995683480222,-80.34237530029232,-86.57453878318555,1.8685164746877765,2.434392426420771,2.1929711215505345,2.0942468823434317
2013-01-01,2021-12-31,2022-01-01,2022-02-28,3M,-84.24702119539519,-72.75890480909618,-69.98069544892647,-2.4630386681503387,0.13613108015223546,1.4653613843216358,0.6319206233920647
2013-01-01,2021-12-31,2022-01-01,2022-05-31,6M,-44.82679731909795,-49.782505163991004,-70.35612388450097,-1.102199204674765,1.5550866100772631,1.1775116618515589,0.7468106896256606
2013-01-01,2021-12-31,2022-01-01,2022-12-31,1Y,-81.46849721101924,-100.46530746318882,-99.18878577148787,-0.5487826384677829,0.15663447115778936,0.37183020797440913,0.5310793656763216
